,SeasonID,TeamID,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,PlayoffRankLag4,WinPCTLag4,DiffPointsPGLag4,isPlayoff
0,2008,1610612739,4.0,0.549,-0.4,2.0,0.61,3.8,3.0,0.61,2.2,9.0,0.512,0.8,1
1,2008,1610612738,1.0,0.805,10.3,15.0,0.293,-3.4,11.0,0.402,-1.5,4.0,0.549,0.9,1
2,2008,1610612753,3.0,0.634,5.5,8.0,0.488,0.8,10.0,0.439,-1.1,10.0,0.439,-2.2,1
3,2008,1610612737,8.0,0.451,-1.8,13.0,0.366,-4.8,14.0,0.317,-4.8,15.0,0.159,-9.7,1
4,2008,1610612748,15.0,0.183,-8.6,4.0,0.537,-0.9,2.0,0.634,3.9,1.0,0.72,6.5,1
5,2008,1610612755,7.0,0.488,0.4,10.0,0.427,-3.0,9.0,0.463,-2.0,7.0,0.524,-0.7,1
6,2008,1610612741,11.0,0.402,-3.1,5.0,0.598,5.0,7.0,0.5,0.6,3.0,0.573,1.1,1
7,2008,1610612765,2.0,0.72,7.4,1.0,0.646,4.2,1.0,0.78,6.7,2.0,0.659,3.9,1
8,2008,1610612754,9.0,0.439,-1.4,9.0,0.427,-2.4,6.0,0.5,1.9,6.0,0.537,0.8,0
9,2008,1610612766,12.0,0.39,-4.4,11.0,0.402,-3.7,13.0,0.317,-4.0,14.0,0.22,-6.0,0
10,2008,1610612751,10.0,0.415,-5.1,6.0,0.5,-0.8,4.0,0.598,1.4,8.0,0.512,-1.5,0
11,2008,1610612749,13.0,0.317,-6.9,14.0,0.341,-4.4,8.0,0.481,-1.0,13.0,0.366,-3.0,0
12,2008,1610612761,6.0,0.5,2.9,3.0,0.573,1.0,12.0,0.329,-3.0,11.0,0.402,-1.6,0
13,2008,1610612752,14.0,0.28,-6.6,12.0,0.402,-2.9,15.0,0.28,-6.4,12.0,0.402,-2.4,0
14,2008,1610612764,5.0,0.524,-0.3,7.0,0.5,-0.5,5.0,0.512,1.9,5.0,0.549,-0.3,0
15,2009,1610612739,1.0,0.805,8.9,4.0,0.549,-0.4,2.0,0.61,3.8,3.0,0.61,2.2,1
16,2009,1610612753,3.0,0.72,6.7,3.0,0.634,5.5,8.0,0.488,0.8,10.0,0.439,-1.1,1
17,2009,1610612737,4.0,0.573,1.6,8.0,0.451,-1.8,13.0,0.366,-4.8,14.0,0.317,-4.8,1
18,2009,1610612738,2.0,0.756,7.5,1.0,0.805,10.3,15.0,0.293,-3.4,11.0,0.402,-1.5,1
19,2009,1610612748,5.0,0.524,0.3,15.0,0.183,-8.6,4.0,0.537,-0.9,2.0,0.634,3.9,1
20,2009,1610612749,12.0,0.415,-1.1,13.0,0.317,-6.9,14.0,0.341,-4.4,8.0,0.481,-1.0,1
21,2009,1610612766,10.0,0.427,-1.3,12.0,0.39,-4.4,11.0,0.402,-3.7,13.0,0.317,-4.0,1
22,2009,1610612741,7.0,0.5,-0.3,11.0,0.402,-3.1,5.0,0.598,5.0,7.0,0.5,0.6,1
23,2009,1610612761,13.0,0.402,-2.8,6.0,0.5,2.9,3.0,0.573,1.0,12.0,0.329,-3.0,0
24,2009,1610612754,9.0,0.439,-1.1,9.0,0.439,-1.4,9.0,0.427,-2.4,6.0,0.5,1.9,0
25,2009,1610612752,14.0,0.39,-2.6,14.0,0.28,-6.6,12.0,0.402,-2.9,15.0,0.28,-6.4,0
26,2009,1610612765,8.0,0.476,-0.5,2.0,0.72,7.4,1.0,0.646,4.2,1.0,0.78,6.7,0
27,2009,1610612755,6.0,0.5,0.1,7.0,0.488,0.4,10.0,0.427,-3.0,9.0,0.463,-2.0,0
28,2009,1610612764,15.0,0.232,-7.5,5.0,0.524,-0.3,7.0,0.5,-0.5,5.0,0.512,1.9,0
29,2009,1610612751,11.0,0.415,-2.4,10.0,0.415,-5.1,6.0,0.5,-0.8,4.0,0.598,1.4,0
30,2010,1610612741,8.0,0.5,-1.6,7.0,0.5,-0.3,11.0,0.402,-3.1,5.0,0.598,5.0,1
31,2010,1610612748,5.0,0.573,2.3,5.0,0.524,0.3,15.0,0.183,-8.6,4.0,0.537,-0.9,1
32,2010,1610612738,4.0,0.61,3.7,2.0,0.756,7.5,1.0,0.805,10.3,15.0,0.293,-3.4,1
33,2010,1610612753,2.0,0.72,7.5,3.0,0.72,6.7,3.0,0.634,5.5,8.0,0.488,0.8,1
34,2010,1610612737,3.0,0.646,4.7,4.0,0.573,1.6,8.0,0.451,-1.8,13.0,0.366,-4.8,1
35,2010,1610612752,11.0,0.354,-3.8,14.0,0.39,-2.6,14.0,0.28,-6.6,12.0,0.402,-2.9,1
36,2010,1610612755,13.0,0.329,-3.9,6.0,0.5,0.1,7.0,0.488,0.4,10.0,0.427,-3.0,1
37,2010,1610612754,10.0,0.39,-3.0,9.0,0.439,-1.1,9.0,0.439,-1.4,9.0,0.427,-2.4,1
38,2010,1610612749,6.0,0.561,1.7,12.0,0.415,-1.1,13.0,0.317,-6.9,14.0,0.341,-4.4,0
39,2010,1610612766,7.0,0.537,1.5,10.0,0.427,-1.3,12.0,0.39,-4.4,11.0,0.402,-3.7,0
40,2010,1610612765,12.0,0.329,-5.1,8.0,0.476,-0.5,2.0,0.72,7.4,1.0,0.646,4.2,0
41,2010,1610612751,15.0,0.146,-9.1,11.0,0.415,-2.4,10.0,0.415,-5.1,6.0,0.5,-0.8,0
42,2010,1610612764,14.0,0.317,-4.8,15.0,0.232,-7.5,5.0,0.524,-0.3,7.0,0.5,-0.5,0
43,2010,1610612761,9.0,0.488,-1.8,13.0,0.402,-2.8,6.0,0.5,2.9,3.0,0.573,1.0,0
44,2010,1610612739,1.0,0.744,6.5,1.0,0.805,8.9,4.0,0.549,-0.4,2.0,0.61,3.8,0
45,2011,1610612741,1.0,0.756,7.3,8.0,0.5,-1.6,7.0,0.5,-0.3,11.0,0.402,-3.1,1
46,2011,1610612748,2.0,0.707,7.5,5.0,0.573,2.3,5.0,0.524,0.3,15.0,0.183,-8.6,1
47,2011,1610612754,8.0,0.451,-1.1,10.0,0.39,-3.0,9.0,0.439,-1.1,9.0,0.439,-1.4,1
48,2011,1610612738,3.0,0.683,5.4,4.0,0.61,3.7,2.0,0.756,7.5,1.0,0.805,10.3,1
49,2011,1610612737,5.0,0.537,-0.8,3.0,0.646,4.7,4.0,0.573,1.6,8.0,0.451,-1.8,1
50,2011,1610612753,4.0,0.634,5.5,2.0,0.72,7.5,3.0,0.72,6.7,3.0,0.634,5.5,1
51,2011,1610612752,6.0,0.512,0.8,11.0,0.354,-3.8,14.0,0.39,-2.6,14.0,0.28,-6.6,1
52,2011,1610612755,7.0,0.5,1.5,13.0,0.329,-3.9,6.0,0.5,0.1,7.0,0.488,0.4,1
53,2011,1610612749,9.0,0.427,-0.8,6.0,0.561,1.7,12.0,0.415,-1.1,13.0,0.317,-6.9,0
54,2011,1610612765,11.0,0.366,-3.6,12.0,0.329,-5.1,8.0,0.476,-0.5,2.0,0.72,7.4,0
55,2011,1610612761,14.0,0.268,-6.3,9.0,0.488,-1.8,13.0,0.402,-2.8,6.0,0.5,2.9,0
56,2011,1610612751,12.0,0.293,-6.2,15.0,0.146,-9.1,11.0,0.415,-2.4,10.0,0.415,-5.1,0
57,2011,1610612739,15.0,0.232,-9.0,1.0,0.744,6.5,1.0,0.805,8.9,4.0,0.549,-0.4,0
58,2011,1610612764,13.0,0.28,-7.4,14.0,0.317,-4.8,15.0,0.232,-7.5,5.0,0.524,-0.3,0
59,2011,1610612766,10.0,0.415,-4.0,7.0,0.537,1.5,10.0,0.427,-1.3,12.0,0.39,-4.4,0
60,2012,1610612748,2.0,0.697,6.0,2.0,0.707,7.5,5.0,0.573,2.3,5.0,0.524,0.3,1
61,2012,1610612752,7.0,0.545,3.2,6.0,0.512,0.8,11.0,0.354,-3.8,14.0,0.39,-2.6,1
62,2012,1610612754,3.0,0.636,3.3,8.0,0.451,-1.1,10.0,0.39,-3.0,9.0,0.439,-1.1,1
63,2012,1610612751,12.0,0.333,-6.0,12.0,0.293,-6.2,15.0,0.146,-9.1,11.0,0.415,-2.4,1
64,2012,1610612741,1.0,0.758,8.2,1.0,0.756,7.3,8.0,0.5,-1.6,7.0,0.5,-0.3,1
65,2012,1610612737,5.0,0.606,3.4,5.0,0.537,-0.8,3.0,0.646,4.7,4.0,0.573,1.6,1
66,2012,1610612738,4.0,0.591,2.5,3.0,0.683,5.4,4.0,0.61,3.7,2.0,0.756,7.5,1
67,2012,1610612749,9.0,0.47,0.3,9.0,0.427,-0.8,6.0,0.561,1.7,12.0,0.415,-1.1,1
68,2012,1610612755,8.0,0.53,4.2,7.0,0.5,1.5,13.0,0.329,-3.9,6.0,0.5,0.1,0
69,2012,1610612761,11.0,0.348,-3.3,14.0,0.268,-6.3,9.0,0.488,-1.8,13.0,0.402,-2.8,0
70,2012,1610612765,10.0,0.379,-4.8,11.0,0.366,-3.6,12.0,0.329,-5.1,8.0,0.476,-0.5,0
71,2012,1610612764,14.0,0.303,-4.8,13.0,0.28,-7.4,14.0,0.317,-4.8,15.0,0.232,-7.5,0
72,2012,1610612739,13.0,0.318,-7.2,15.0,0.232,-9.0,1.0,0.744,6.5,1.0,0.805,8.9,0
73,2012,1610612766,15.0,0.106,-13.9,10.0,0.415,-4.0,7.0,0.537,1.5,10.0,0.427,-1.3,0
74,2012,1610612753,6.0,0.561,0.8,4.0,0.634,5.5,2.0,0.72,7.5,3.0,0.72,6.7,0
75,2013,1610612754,3.0,0.605,4.0,3.0,0.636,3.3,8.0,0.451,-1.1,10.0,0.39,-3.0,1
76,2013,1610612748,1.0,0.805,7.9,2.0,0.697,6.0,2.0,0.707,7.5,5.0,0.573,2.3,1
77,2013,1610612761,10.0,0.415,-1.5,11.0,0.348,-3.3,14.0,0.268,-6.3,9.0,0.488,-1.8,1
78,2013,1610612741,5.0,0.549,0.3,1.0,0.758,8.2,1.0,0.756,7.3,8.0,0.5,-1.6,1
79,2013,1610612764,12.0,0.354,-2.5,14.0,0.303,-4.8,13.0,0.28,-7.4,14.0,0.317,-4.8,1
80,2013,1610612751,4.0,0.598,1.8,12.0,0.333,-6.0,12.0,0.293,-6.2,15.0,0.146,-9.1,1
81,2013,1610612766,14.0,0.256,-9.2,15.0,0.106,-13.9,10.0,0.415,-4.0,7.0,0.537,1.5,1
82,2013,1610612737,6.0,0.537,0.4,5.0,0.606,3.4,5.0,0.537,-0.8,3.0,0.646,4.7,1
83,2013,1610612752,2.0,0.659,4.2,7.0,0.545,3.2,6.0,0.512,0.8,11.0,0.354,-3.8,0
84,2013,1610612739,13.0,0.293,-4.7,13.0,0.318,-7.2,15.0,0.232,-9.0,1.0,0.744,6.5,0
85,2013,1610612765,11.0,0.354,-4.0,10.0,0.379,-4.8,11.0,0.366,-3.6,12.0,0.329,-5.1,0
86,2013,1610612738,7.0,0.506,-0.2,4.0,0.591,2.5,3.0,0.683,5.4,4.0,0.61,3.7,0
87,2013,1610612753,15.0,0.244,-7.0,6.0,0.561,0.8,4.0,0.634,5.5,2.0,0.72,7.5,0
88,2013,1610612755,9.0,0.415,-3.3,8.0,0.53,4.2,7.0,0.5,1.5,13.0,0.329,-3.9,0
89,2013,1610612749,8.0,0.463,-1.5,9.0,0.47,0.3,9.0,0.427,-0.8,6.0,0.561,1.7,0
90,2014,1610612737,8.0,0.463,-0.5,6.0,0.537,0.4,5.0,0.606,3.4,5.0,0.537,-0.8,1
91,2014,1610612739,10.0,0.402,-3.3,13.0,0.293,-4.7,13.0,0.318,-7.2,15.0,0.232,-9.0,1
92,2014,1610612741,4.0,0.585,1.9,5.0,0.549,0.3,1.0,0.758,8.2,1.0,0.756,7.3,1
93,2014,1610612761,3.0,0.585,3.2,10.0,0.415,-1.5,11.0,0.348,-3.3,14.0,0.268,-6.3,1
94,2014,1610612764,5.0,0.537,1.3,12.0,0.354,-2.5,14.0,0.303,-4.8,13.0,0.28,-7.4,1
95,2014,1610612749,15.0,0.183,-8.2,8.0,0.463,-1.5,9.0,0.47,0.3,9.0,0.427,-0.8,1
96,2014,1610612738,12.0,0.305,-4.5,7.0,0.506,-0.2,4.0,0.591,2.5,3.0,0.683,5.4,1
97,2014,1610612751,6.0,0.537,-1.0,4.0,0.598,1.8,12.0,0.333,-6.0,12.0,0.293,-6.2,1
98,2014,1610612754,1.0,0.683,4.4,3.0,0.605,4.0,3.0,0.636,3.3,8.0,0.451,-1.1,0
99,2014,1610612748,2.0,0.659,4.8,1.0,0.805,7.9,2.0,0.697,6.0,2.0,0.707,7.5,0
100,2014,1610612766,7.0,0.524,-0.2,14.0,0.256,-9.2,15.0,0.106,-13.9,10.0,0.415,-4.0,0
101,2014,1610612765,11.0,0.354,-3.7,11.0,0.354,-4.0,10.0,0.379,-4.8,11.0,0.366,-3.6,0
102,2014,1610612753,13.0,0.28,-5.4,15.0,0.244,-7.0,6.0,0.561,0.8,4.0,0.634,5.5,0
103,2014,1610612755,14.0,0.232,-10.5,9.0,0.415,-3.3,8.0,0.53,4.2,7.0,0.5,1.5,0
