,SeasonID,TeamID,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,PlayoffRankLag4,WinPCTLag4,DiffPointsPGLag4,isPlayoff
0,2008,1610612739,4.0,0.549,-0.4,2.0,0.61,3.8,3.0,0.61,2.2,9.0,0.512,0.8,1
1,2008,1610612747,1.0,0.695,7.3,7.0,0.512,-0.1,7.0,0.549,2.5,11.0,0.415,-3.0,1
2,2008,1610612743,8.0,0.61,3.7,6.0,0.549,1.6,4.0,0.537,0.2,7.0,0.598,2.0,1
3,2008,1610612738,1.0,0.805,10.3,15.0,0.293,-3.4,11.0,0.402,-1.5,4.0,0.549,0.9,1
4,2008,1610612759,3.0,0.683,4.8,3.0,0.707,8.4,1.0,0.768,6.8,2.0,0.72,7.8,1
5,2008,1610612753,3.0,0.634,5.5,8.0,0.488,0.8,10.0,0.439,-1.1,10.0,0.439,-2.2,1
6,2008,1610612737,8.0,0.451,-1.8,13.0,0.366,-4.8,14.0,0.317,-4.8,15.0,0.159,-9.7,1
7,2008,1610612757,10.0,0.5,-1.0,12.0,0.39,-4.3,15.0,0.256,-9.5,13.0,0.329,-4.0,1
8,2008,1610612745,5.0,0.671,4.7,5.0,0.634,4.9,12.0,0.415,-1.6,5.0,0.622,4.0,1
9,2008,1610612748,15.0,0.183,-8.6,4.0,0.537,-0.9,2.0,0.634,3.9,1.0,0.72,6.5,1
10,2008,1610612755,7.0,0.488,0.4,10.0,0.427,-3.0,9.0,0.463,-2.0,7.0,0.524,-0.7,1
11,2008,1610612742,7.0,0.622,4.5,1.0,0.817,7.2,2.0,0.732,6.1,3.0,0.707,5.7,1
12,2008,1610612741,11.0,0.402,-3.1,5.0,0.598,5.0,7.0,0.5,0.6,3.0,0.573,1.1,1
13,2008,1610612740,2.0,0.683,5.3,10.0,0.476,-1.6,10.0,0.463,-2.8,15.0,0.22,-7.1,1
14,2008,1610612762,4.0,0.659,6.9,4.0,0.622,2.9,9.0,0.5,-2.6,14.0,0.317,-4.3,1
15,2008,1610612765,2.0,0.72,7.4,1.0,0.646,4.2,1.0,0.78,6.7,2.0,0.659,3.9,1
16,2008,1610612754,9.0,0.439,-1.4,9.0,0.427,-2.4,6.0,0.5,1.9,6.0,0.537,0.8,0
17,2008,1610612756,6.0,0.671,5.0,2.0,0.744,7.3,3.0,0.659,5.5,1.0,0.756,7.1,0
18,2008,1610612766,12.0,0.39,-4.4,11.0,0.402,-3.7,13.0,0.317,-4.0,14.0,0.22,-6.0,0
19,2008,1610612744,9.0,0.585,2.2,8.0,0.512,-0.3,13.0,0.415,-1.4,12.0,0.415,-2.2,0
20,2008,1610612751,10.0,0.415,-5.1,6.0,0.5,-0.8,4.0,0.598,1.4,8.0,0.512,-1.5,0
21,2008,1610612750,13.0,0.268,-6.8,13.0,0.39,-3.7,14.0,0.402,-1.9,9.0,0.537,1.5,0
22,2008,1610612749,13.0,0.317,-6.9,14.0,0.341,-4.4,8.0,0.481,-1.0,13.0,0.366,-3.0,0
23,2008,1610612763,14.0,0.268,-6.2,15.0,0.268,-5.1,5.0,0.598,3.7,8.0,0.549,2.3,0
24,2008,1610612760,15.0,0.244,-8.8,14.0,0.378,-2.9,11.0,0.427,-3.0,4.0,0.634,2.3,0
25,2008,1610612761,6.0,0.5,2.9,3.0,0.573,1.0,12.0,0.329,-3.0,11.0,0.402,-1.6,0
26,2008,1610612752,14.0,0.28,-6.6,12.0,0.402,-2.9,15.0,0.28,-6.4,12.0,0.402,-2.4,0
27,2008,1610612746,12.0,0.28,-7.3,9.0,0.488,-0.5,6.0,0.573,1.6,10.0,0.451,-0.8,0
28,2008,1610612758,11.0,0.463,-2.3,11.0,0.402,-1.8,8.0,0.537,1.5,6.0,0.61,2.2,0
29,2008,1610612764,5.0,0.524,-0.3,7.0,0.5,-0.5,5.0,0.512,1.9,5.0,0.549,-0.3,0
30,2009,1610612739,1.0,0.805,8.9,4.0,0.549,-0.4,2.0,0.61,3.8,3.0,0.61,2.2,1
31,2009,1610612747,1.0,0.793,7.7,1.0,0.695,7.3,7.0,0.512,-0.1,7.0,0.549,2.5,1
32,2009,1610612753,3.0,0.72,6.7,3.0,0.634,5.5,8.0,0.488,0.8,10.0,0.439,-1.1,1
33,2009,1610612742,6.0,0.61,2.0,7.0,0.622,4.5,1.0,0.817,7.2,2.0,0.732,6.1,1
34,2009,1610612737,4.0,0.573,1.6,8.0,0.451,-1.8,13.0,0.366,-4.8,14.0,0.317,-4.8,1
35,2009,1610612756,9.0,0.561,1.9,6.0,0.671,5.0,2.0,0.744,7.3,3.0,0.659,5.5,1
36,2009,1610612743,2.0,0.659,3.4,8.0,0.61,3.7,6.0,0.549,1.6,4.0,0.537,0.2,1
37,2009,1610612738,2.0,0.756,7.5,1.0,0.805,10.3,15.0,0.293,-3.4,11.0,0.402,-1.5,1
38,2009,1610612762,8.0,0.585,2.6,4.0,0.659,6.9,4.0,0.622,2.9,9.0,0.5,-2.6,1
39,2009,1610612748,5.0,0.524,0.3,15.0,0.183,-8.6,4.0,0.537,-0.9,2.0,0.634,3.9,1
40,2009,1610612749,12.0,0.415,-1.1,13.0,0.317,-6.9,14.0,0.341,-4.4,8.0,0.481,-1.0,1
41,2009,1610612757,4.0,0.659,5.3,10.0,0.5,-1.0,12.0,0.39,-4.3,15.0,0.256,-9.5,1
42,2009,1610612766,10.0,0.427,-1.3,12.0,0.39,-4.4,11.0,0.402,-3.7,13.0,0.317,-4.0,1
43,2009,1610612759,3.0,0.659,3.8,3.0,0.683,4.8,3.0,0.707,8.4,1.0,0.768,6.8,1
44,2009,1610612741,7.0,0.5,-0.3,11.0,0.402,-3.1,5.0,0.598,5.0,7.0,0.5,0.6,1
