,SeasonID,TeamID,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,PlayoffRankLag4,WinPCTLag4,DiffPointsPGLag4,isPlayoff
0,2008,1610612747,1.0,0.695,7.3,7.0,0.512,-0.1,7.0,0.549,2.5,11.0,0.415,-3.0,1
1,2008,1610612743,8.0,0.61,3.7,6.0,0.549,1.6,4.0,0.537,0.2,7.0,0.598,2.0,1
2,2008,1610612759,3.0,0.683,4.8,3.0,0.707,8.4,1.0,0.768,6.8,2.0,0.72,7.8,1
3,2008,1610612757,10.0,0.5,-1.0,12.0,0.39,-4.3,15.0,0.256,-9.5,13.0,0.329,-4.0,1
4,2008,1610612745,5.0,0.671,4.7,5.0,0.634,4.9,12.0,0.415,-1.6,5.0,0.622,4.0,1
5,2008,1610612742,7.0,0.622,4.5,1.0,0.817,7.2,2.0,0.732,6.1,3.0,0.707,5.7,1
6,2008,1610612740,2.0,0.683,5.3,10.0,0.476,-1.6,10.0,0.463,-2.8,15.0,0.22,-7.1,1
7,2008,1610612762,4.0,0.659,6.9,4.0,0.622,2.9,9.0,0.5,-2.6,14.0,0.317,-4.3,1
8,2008,1610612756,6.0,0.671,5.0,2.0,0.744,7.3,3.0,0.659,5.5,1.0,0.756,7.1,0
9,2008,1610612744,9.0,0.585,2.2,8.0,0.512,-0.3,13.0,0.415,-1.4,12.0,0.415,-2.2,0
10,2008,1610612750,13.0,0.268,-6.8,13.0,0.39,-3.7,14.0,0.402,-1.9,9.0,0.537,1.5,0
11,2008,1610612763,14.0,0.268,-6.2,15.0,0.268,-5.1,5.0,0.598,3.7,8.0,0.549,2.3,0
12,2008,1610612760,15.0,0.244,-8.8,14.0,0.378,-2.9,11.0,0.427,-3.0,4.0,0.634,2.3,0
13,2008,1610612746,12.0,0.28,-7.3,9.0,0.488,-0.5,6.0,0.573,1.6,10.0,0.451,-0.8,0
14,2008,1610612758,11.0,0.463,-2.3,11.0,0.402,-1.8,8.0,0.537,1.5,6.0,0.61,2.2,0
15,2009,1610612747,1.0,0.793,7.7,1.0,0.695,7.3,7.0,0.512,-0.1,7.0,0.549,2.5,1
16,2009,1610612742,6.0,0.61,2.0,7.0,0.622,4.5,1.0,0.817,7.2,2.0,0.732,6.1,1
17,2009,1610612756,9.0,0.561,1.9,6.0,0.671,5.0,2.0,0.744,7.3,3.0,0.659,5.5,1
18,2009,1610612743,2.0,0.659,3.4,8.0,0.61,3.7,6.0,0.549,1.6,4.0,0.537,0.2,1
19,2009,1610612762,8.0,0.585,2.6,4.0,0.659,6.9,4.0,0.622,2.9,9.0,0.5,-2.6,1
20,2009,1610612757,4.0,0.659,5.3,10.0,0.5,-1.0,12.0,0.39,-4.3,15.0,0.256,-9.5,1
21,2009,1610612759,3.0,0.659,3.8,3.0,0.683,4.8,3.0,0.707,8.4,1.0,0.768,6.8,1
22,2009,1610612760,13.0,0.28,-6.1,15.0,0.244,-8.8,14.0,0.378,-2.9,11.0,0.427,-3.0,1
23,2009,1610612745,5.0,0.646,4.0,5.0,0.671,4.7,5.0,0.634,4.9,12.0,0.415,-1.6,0
24,2009,1610612763,12.0,0.293,-5.5,14.0,0.268,-6.2,15.0,0.268,-5.1,5.0,0.598,3.7,0
25,2009,1610612740,7.0,0.598,1.5,2.0,0.683,5.3,10.0,0.476,-1.6,10.0,0.463,-2.8,0
26,2009,1610612746,14.0,0.232,-8.8,12.0,0.28,-7.3,9.0,0.488,-0.5,6.0,0.573,1.6,0
27,2009,1610612744,10.0,0.354,-3.7,9.0,0.585,2.2,8.0,0.512,-0.3,13.0,0.415,-1.4,0
28,2009,1610612758,15.0,0.207,-8.8,11.0,0.463,-2.3,11.0,0.402,-1.8,8.0,0.537,1.5,0
29,2009,1610612750,11.0,0.293,-4.9,13.0,0.268,-6.8,13.0,0.39,-3.7,14.0,0.402,-1.9,0
30,2010,1610612759,7.0,0.61,5.1,3.0,0.659,3.8,3.0,0.683,4.8,3.0,0.707,8.4,1
31,2010,1610612747,1.0,0.695,4.7,1.0,0.793,7.7,1.0,0.695,7.3,7.0,0.512,-0.1,1
32,2010,1610612742,2.0,0.671,2.7,6.0,0.61,2.0,7.0,0.622,4.5,1.0,0.817,7.2,1
33,2010,1610612760,8.0,0.61,3.5,13.0,0.28,-6.1,15.0,0.244,-8.8,14.0,0.378,-2.9,1
34,2010,1610612743,4.0,0.646,4.1,2.0,0.659,3.4,8.0,0.61,3.7,6.0,0.549,1.6,1
35,2010,1610612757,6.0,0.61,3.3,4.0,0.659,5.3,10.0,0.5,-1.0,12.0,0.39,-4.3,1
36,2010,1610612740,11.0,0.451,-2.5,7.0,0.598,1.5,2.0,0.683,5.3,10.0,0.476,-1.6,1
37,2010,1610612763,10.0,0.488,-1.5,12.0,0.293,-5.5,14.0,0.268,-6.2,15.0,0.268,-5.1,1
38,2010,1610612745,9.0,0.512,-0.4,5.0,0.646,4.0,5.0,0.671,4.7,5.0,0.634,4.9,0
39,2010,1610612756,3.0,0.659,4.9,9.0,0.561,1.9,6.0,0.671,5.0,2.0,0.744,7.3,0
40,2010,1610612762,5.0,0.646,5.3,8.0,0.585,2.6,4.0,0.659,6.9,4.0,0.622,2.9,0
41,2010,1610612744,13.0,0.317,-3.6,10.0,0.354,-3.7,9.0,0.585,2.2,8.0,0.512,-0.3,0
42,2010,1610612746,12.0,0.354,-6.4,14.0,0.232,-8.8,12.0,0.28,-7.3,9.0,0.488,-0.5,0
43,2010,1610612758,14.0,0.305,-4.4,15.0,0.207,-8.8,11.0,0.463,-2.3,11.0,0.402,-1.8,0
44,2010,1610612750,15.0,0.183,-9.6,11.0,0.293,-4.9,13.0,0.268,-6.8,13.0,0.39,-3.7,0
45,2011,1610612759,1.0,0.744,5.7,7.0,0.61,5.1,3.0,0.659,3.8,3.0,0.683,4.8,1
46,2011,1610612760,4.0,0.671,3.8,8.0,0.61,3.5,13.0,0.28,-6.1,15.0,0.244,-8.8,1
47,2011,1610612747,2.0,0.695,6.1,1.0,0.695,4.7,1.0,0.793,7.7,1.0,0.695,7.3,1
48,2011,1610612763,8.0,0.561,2.3,10.0,0.488,-1.5,12.0,0.293,-5.5,14.0,0.268,-6.2,1
49,2011,1610612746,13.0,0.39,-3.1,12.0,0.354,-6.4,14.0,0.232,-8.8,12.0,0.28,-7.3,1
50,2011,1610612743,5.0,0.61,4.8,4.0,0.646,4.1,2.0,0.659,3.4,8.0,0.61,3.7,1
51,2011,1610612742,3.0,0.695,4.2,2.0,0.671,2.7,6.0,0.61,2.0,7.0,0.622,4.5,1
52,2011,1610612762,11.0,0.476,-1.8,5.0,0.646,5.3,8.0,0.585,2.6,4.0,0.659,6.9,1
53,2011,1610612745,9.0,0.524,2.2,9.0,0.512,-0.4,5.0,0.646,4.0,5.0,0.671,4.7,0
54,2011,1610612756,10.0,0.488,-0.9,3.0,0.659,4.9,9.0,0.561,1.9,6.0,0.671,5.0,0
55,2011,1610612757,6.0,0.585,1.5,6.0,0.61,3.3,4.0,0.659,5.3,10.0,0.5,-1.0,0
56,2011,1610612750,15.0,0.207,-6.6,15.0,0.183,-9.6,11.0,0.293,-4.9,13.0,0.268,-6.8,0
57,2011,1610612744,12.0,0.439,-2.3,13.0,0.317,-3.6,10.0,0.354,-3.7,9.0,0.585,2.2,0
58,2011,1610612758,14.0,0.293,-5.3,14.0,0.305,-4.4,15.0,0.207,-8.8,11.0,0.463,-2.3,0
59,2011,1610612740,7.0,0.561,0.9,11.0,0.451,-2.5,7.0,0.598,1.5,2.0,0.683,5.3,0
60,2012,1610612760,2.0,0.712,6.1,4.0,0.671,3.8,8.0,0.61,3.5,13.0,0.28,-6.1,1
61,2012,1610612759,1.0,0.758,7.2,1.0,0.744,5.7,7.0,0.61,5.1,3.0,0.659,3.8,1
62,2012,1610612743,6.0,0.576,2.9,5.0,0.61,4.8,4.0,0.646,4.1,2.0,0.659,3.4,1
63,2012,1610612746,5.0,0.606,2.6,13.0,0.39,-3.1,12.0,0.354,-6.4,14.0,0.232,-8.8,1
64,2012,1610612763,4.0,0.621,2.0,8.0,0.561,2.3,10.0,0.488,-1.5,12.0,0.293,-5.5,1
65,2012,1610612744,13.0,0.348,-3.4,12.0,0.439,-2.3,13.0,0.317,-3.6,10.0,0.354,-3.7,1
66,2012,1610612747,3.0,0.621,1.4,2.0,0.695,6.1,1.0,0.695,4.7,1.0,0.793,7.7,1
67,2012,1610612745,9.0,0.515,0.2,9.0,0.524,2.2,9.0,0.512,-0.4,5.0,0.646,4.0,1
68,2012,1610612762,8.0,0.545,0.6,11.0,0.476,-1.8,5.0,0.646,5.3,8.0,0.585,2.6,0
69,2012,1610612742,7.0,0.545,1.0,3.0,0.695,4.2,2.0,0.671,2.7,6.0,0.61,2.0,0
70,2012,1610612757,11.0,0.424,-0.6,6.0,0.585,1.5,6.0,0.61,3.3,4.0,0.659,5.3,0
71,2012,1610612750,12.0,0.394,-2.2,15.0,0.207,-6.6,15.0,0.183,-9.6,11.0,0.293,-4.9,0
72,2012,1610612758,14.0,0.333,-5.7,14.0,0.293,-5.3,14.0,0.305,-4.4,15.0,0.207,-8.8,0
73,2012,1610612740,15.0,0.318,-3.8,7.0,0.561,0.9,11.0,0.451,-2.5,7.0,0.598,1.5,0
74,2012,1610612756,10.0,0.5,-0.2,10.0,0.488,-0.9,3.0,0.659,4.9,9.0,0.561,1.9,0
75,2013,1610612759,2.0,0.707,6.4,1.0,0.758,7.2,1.0,0.744,5.7,7.0,0.61,5.1,1
76,2013,1610612760,1.0,0.732,9.2,2.0,0.712,6.1,4.0,0.671,3.8,8.0,0.61,3.5,1
77,2013,1610612746,4.0,0.683,6.5,5.0,0.606,2.6,13.0,0.39,-3.1,12.0,0.354,-6.4,1
78,2013,1610612745,8.0,0.549,3.5,9.0,0.515,0.2,9.0,0.524,2.2,9.0,0.512,-0.4,1
79,2013,1610612757,11.0,0.402,-3.2,11.0,0.424,-0.6,6.0,0.585,1.5,6.0,0.61,3.3,1
80,2013,1610612744,6.0,0.573,0.9,13.0,0.348,-3.4,12.0,0.439,-2.3,13.0,0.317,-3.6,1
81,2013,1610612763,5.0,0.683,4.1,4.0,0.621,2.0,8.0,0.561,2.3,10.0,0.488,-1.5,1
82,2013,1610612742,10.0,0.5,-0.6,7.0,0.545,1.0,3.0,0.695,4.2,2.0,0.671,2.7,1
83,2013,1610612756,15.0,0.305,-6.5,10.0,0.5,-0.2,10.0,0.488,-0.9,3.0,0.659,4.9,0
84,2013,1610612750,12.0,0.378,-2.4,12.0,0.394,-2.2,15.0,0.207,-6.6,15.0,0.183,-9.6,0
85,2013,1610612743,3.0,0.695,5.1,6.0,0.576,2.9,5.0,0.61,4.8,4.0,0.646,4.1,0
86,2013,1610612740,14.0,0.329,-3.9,15.0,0.318,-3.8,7.0,0.561,0.9,11.0,0.451,-2.5,0
87,2013,1610612758,13.0,0.341,-4.9,14.0,0.333,-5.7,14.0,0.293,-5.3,14.0,0.305,-4.4,0
88,2013,1610612747,7.0,0.549,1.2,3.0,0.621,1.4,2.0,0.695,6.1,1.0,0.695,4.7,0
89,2013,1610612762,9.0,0.524,-0.1,8.0,0.545,0.6,11.0,0.476,-1.8,5.0,0.646,5.3,0
90,2014,1610612744,6.0,0.622,4.8,6.0,0.573,0.9,13.0,0.348,-3.4,12.0,0.439,-2.3,1
91,2014,1610612745,4.0,0.659,4.6,8.0,0.549,3.5,9.0,0.515,0.2,9.0,0.524,2.2,1
92,2014,1610612746,3.0,0.695,7.0,4.0,0.683,6.5,5.0,0.606,2.6,13.0,0.39,-3.1,1
93,2014,1610612757,5.0,0.659,4.0,11.0,0.402,-3.2,11.0,0.424,-0.6,6.0,0.585,1.5,1
94,2014,1610612763,7.0,0.61,1.6,5.0,0.683,4.1,4.0,0.621,2.0,8.0,0.561,2.3,1
95,2014,1610612759,1.0,0.756,7.7,2.0,0.707,6.4,1.0,0.758,7.2,1.0,0.744,5.7,1
96,2014,1610612742,8.0,0.598,2.4,10.0,0.5,-0.6,7.0,0.545,1.0,3.0,0.695,4.2,1
97,2014,1610612740,12.0,0.415,-2.7,14.0,0.329,-3.9,15.0,0.318,-3.8,7.0,0.561,0.9,1
98,2014,1610612760,2.0,0.72,6.3,1.0,0.732,9.2,2.0,0.712,6.1,4.0,0.671,3.8,0
99,2014,1610612756,9.0,0.585,2.6,15.0,0.305,-6.5,10.0,0.5,-0.2,10.0,0.488,-0.9,0
100,2014,1610612762,15.0,0.305,-7.2,9.0,0.524,-0.1,8.0,0.545,0.6,11.0,0.476,-1.8,0
101,2014,1610612743,11.0,0.439,-2.1,3.0,0.695,5.1,6.0,0.576,2.9,5.0,0.61,4.8,0
102,2014,1610612758,13.0,0.341,-2.9,13.0,0.341,-4.9,14.0,0.333,-5.7,14.0,0.293,-5.3,0
103,2014,1610612747,14.0,0.329,-6.3,7.0,0.549,1.2,3.0,0.621,1.4,2.0,0.695,6.1,0
104,2014,1610612750,10.0,0.488,2.7,12.0,0.378,-2.4,12.0,0.394,-2.2,15.0,0.207,-6.6,0
105,2015,1610612744,1.0,0.817,10.1,6.0,0.622,4.8,6.0,0.573,0.9,13.0,0.348,-3.4,1
106,2015,1610612759,6.0,0.671,6.2,1.0,0.756,7.7,2.0,0.707,6.4,1.0,0.758,7.2,1
107,2015,1610612760,9.0,0.549,2.2,2.0,0.72,6.3,1.0,0.732,9.2,2.0,0.712,6.1,1
108,2015,1610612746,3.0,0.683,6.6,3.0,0.695,7.0,4.0,0.683,6.5,5.0,0.606,2.6,1
109,2015,1610612757,4.0,0.622,4.2,5.0,0.659,4.0,11.0,0.402,-3.2,11.0,0.424,-0.6,1
110,2015,1610612742,7.0,0.61,2.9,8.0,0.598,2.4,10.0,0.5,-0.6,7.0,0.545,1.0,1
111,2015,1610612763,5.0,0.671,3.2,7.0,0.61,1.6,5.0,0.683,4.1,4.0,0.621,2.0,1
112,2015,1610612745,2.0,0.683,3.4,4.0,0.659,4.6,8.0,0.549,3.5,9.0,0.515,0.2,1
113,2015,1610612762,11.0,0.463,0.2,15.0,0.305,-7.2,9.0,0.524,-0.1,8.0,0.545,0.6,0
114,2015,1610612758,13.0,0.354,-3.7,13.0,0.341,-2.9,13.0,0.341,-4.9,14.0,0.333,-5.7,0
115,2015,1610612743,12.0,0.366,-3.5,11.0,0.439,-2.1,3.0,0.695,5.1,6.0,0.576,2.9,0
116,2015,1610612740,8.0,0.549,0.8,12.0,0.415,-2.7,14.0,0.329,-3.9,15.0,0.318,-3.8,0
117,2015,1610612750,15.0,0.195,-8.8,10.0,0.488,2.7,12.0,0.378,-2.4,12.0,0.394,-2.2,0
118,2015,1610612756,10.0,0.476,-0.9,9.0,0.585,2.6,15.0,0.305,-6.5,10.0,0.5,-0.2,0
119,2015,1610612747,14.0,0.256,-6.8,14.0,0.329,-6.3,7.0,0.549,1.2,3.0,0.621,1.4,0
120,2016,1610612744,1.0,0.89,10.8,1.0,0.817,10.1,6.0,0.622,4.8,6.0,0.573,0.9,1
121,2016,1610612759,2.0,0.817,10.6,6.0,0.671,6.2,1.0,0.756,7.7,2.0,0.707,6.4,1
122,2016,1610612745,8.0,0.5,0.2,2.0,0.683,3.4,4.0,0.659,4.6,8.0,0.549,3.5,1
123,2016,1610612746,4.0,0.646,4.3,3.0,0.683,6.6,3.0,0.695,7.0,4.0,0.683,6.5,1
124,2016,1610612762,9.0,0.488,1.8,11.0,0.463,0.2,15.0,0.305,-7.2,9.0,0.524,-0.1,1
125,2016,1610612760,3.0,0.671,7.3,9.0,0.549,2.2,2.0,0.72,6.3,1.0,0.732,9.2,1
126,2016,1610612763,7.0,0.512,-2.2,5.0,0.671,3.2,7.0,0.61,1.6,5.0,0.683,4.1,1
127,2016,1610612757,5.0,0.537,0.8,4.0,0.622,4.2,5.0,0.659,4.0,11.0,0.402,-3.2,1
