season,team,score
2007,nets,0.09120230078563411
2007,cavaliers,0.08083333333333333
2007,spurs,0.0376569264069264
2007,suns,0.08267645846217277
2007,heat,0.1765029761904762
2007,knicks,0.17252371332371336
2007,bulls,-0.042180735930735944
2007,hornets,0.26666666666666666
2007,trail blazers,0.13189484126984127
2007,rockets,-0.2
2007,warriors,-0.10357142857142858
2007,celtics,0.1759848484848485
2007,timberwolves,0.0
2007,lakers,0.10286458333333333
2007,hawks,0.03333333333333334
2007,magic,0.22142857142857145
2008,pistons,0.5
2008,trail blazers,0.5
2008,warriors,-0.12916666666666665
2008,clippers,-0.09050925925925925
2008,celtics,-0.014583333333333337
2008,lakers,0.23511904761904762
2008,hawks,0.15
2008,magic,0.27144255050505056
2008,knicks,0.06298245350328684
2008,cavaliers,0.038035714285714284
2008,nuggets,0.0982026515151515
2008,bulls,0.04242424242424242
2008,suns,0.07710884353741494
2008,nets,0.1600723140495868
2008,rockets,-0.0422077922077922
2008,spurs,0.08666666666666667
2008,bucks,0.01717171717171717
2008,heat,0.26666666666666666
2008,mavericks,0.16
2008,76ers,-0.12000000000000002
2008,kings,-0.01319444444444445
2009,nets,0.12740744916092137
2009,pistons,0.12435185185185185
2009,bucks,0.10796296296296296
2009,clippers,0.09418725718725719
2009,magic,0.1458183879612451
2009,timberwolves,0.1007260101010101
2009,suns,0.29051282051282057
2009,knicks,0.13222775158043015
2009,lakers,0.08434821571726334
2009,celtics,0.12419642857142858
2009,hornets,0.1051948051948052
2009,cavaliers,0.1902483164983165
2009,spurs,0.11347402597402598
2009,nuggets,-0.00714285714285715
2009,heat,-0.0838320707070707
2009,raptors,0.25
2009,grizzlies,0.24416666666666667
2009,thunder,-0.03333333333333334
2009,rockets,-0.027083333333333334
2009,wizards,0.09814814814814814
2009,kings,0.26785714285714285
2009,trail blazers,0.24583333333333335
2010,nets,0.10500291717884311
2010,knicks,0.057385371963294046
2010,lakers,0.10073593073593073
2010,heat,0.12928999377528788
2010,cavaliers,0.19759089191232043
2010,pistons,-0.02978675645342314
2010,magic,0.09592532467532468
2010,trail blazers,0.003030303030303022
2010,raptors,0.21736111111111112
2010,celtics,0.1701118326118326
2010,bucks,0.014676677489177496
2010,wizards,0.06135416666666667
2010,grizzlies,-0.09999999999999999
2010,hornets,0.23791666666666667
2010,bulls,0.15959470664016118
2010,thunder,-0.039404761904761894
2010,nuggets,0.0940726711560045
2010,timberwolves,-0.06625
2010,pacers,0.13636363636363635
2010,rockets,0.13636363636363635
2010,clippers,0.0
2010,mavericks,0.32666666666666666
2010,jazz,-0.05454545454545454
2010,hawks,0.11458333333333334
2010,warriors,0.22000000000000003
2011,lakers,0.0749217077403352
2011,knicks,0.08004997777777988
2011,heat,0.07218915343915343
2011,thunder,0.0433459595959596
2011,mavericks,0.09483138785817356
2011,cavaliers,0.12893518518518518
2011,nets,0.08133820569005751
2011,timberwolves,0.26625
